time,open,high,low,close
1790227080,30694,30695.5,30691.5,30694.25
1790227140,30694.25,30696.75,30693.5,30696.5
1790227200,30696,30698.5,30692.25,30694.5
1790227260,30694.5,30694.75,30680,30680.25
1790227320,30680.5,30686.75,30677.75,30686
1790227380,30685.75,30687.75,30683,30686.5
1790227440,30687,30687.5,30683.25,30685
1790227500,30684.75,30692.25,30683.5,30687.75
1790227560,30687.25,30693.75,30686.5,30688.25
1790227620,30688.25,30691.5,30686.75,30690.5
1790227680,30689.75,30705,30689.75,30702.75
1790227740,30702.75,30710.25,30699,30707
1790227800,30707,30709.75,30701,30706
1790227860,30705.5,30705.75,30702,30703
1790227920,30703.25,30706,30702,30705
1790227980,30705.25,30709.5,30701,30701
1790228040,30700.5,30701,30696,30698.5
1790228100,30698.75,30701,30690.75,30691.25
1790228160,30691,30694.5,30689.25,30691.25
1790228220,30692,30694.5,30689.5,30691
1790228280,30690.75,30693,30687.75,30691.25
1790228340,30691,30691,30685.25,30688.75
1790228400,30689,30698.25,30688.25,30694.25
1790228460,30694.25,30695.5,30686.25,30688.75
1790228520,30688.5,30691,30682,30683
1790228580,30683,30684.25,30679.5,30680.25
1790228640,30680.5,30681.25,30669.75,30670.75
1790228700,30670.25,30670.25,30657.75,30667.25
1790228760,30667,30670.5,30666.75,30668
1790228820,30667.75,30668.25,30662.25,30663.75
1790228880,30664.75,30666.25,30659.5,30661
1790228940,30661.25,30662.5,30658.75,30660.25
1790229000,30660,30661.25,30656,30657.75
1790229060,30657.5,30663,30657,30661.25
1790229120,30660.75,30670,30660,30668.75
1790229180,30668.5,30670.25,30656.75,30656.75
1790229240,30657.5,30661.25,30656.25,30657
1790229300,30657,30657,30646,30647
1790229360,30646.75,30648,30629,30630.75
1790229420,30630.75,30633.25,30620.25,30623.75
1790229480,30623.75,30625.75,30612.75,30616.5
1790229540,30616.75,30618,30607.5,30608.5
1790229600,30608,30611,30596.5,30599.75
1790229660,30599,30602.5,30581,30585
1790229720,30585.25,30593.75,30573.25,30576
1790229780,30575.75,30583.75,30572.25,30582.25
1790229840,30581.75,30589.5,30571.75,30575.75
1790229900,30575,30578,30568.5,30575.75
1790229960,30575,30581,30563.75,30578
1790230020,30577.75,30607.5,30577.25,30605.5
1790230080,30605.5,30615,30604.25,30605.5
1790230140,30606.25,30610.75,30597,30610.75
1790230200,30610.25,30615.25,30600.5,30614.25
1790230260,30614.25,30622.25,30603.5,30616.75
1790230320,30617.5,30628,30615.25,30624.5
1790230380,30624,30625,30613.25,30621
1790230440,30621.75,30625.25,30615.5,30619.5
1790230500,30619.5,30628.75,30613.25,30615.75
1790230560,30615.75,30619.75,30610.5,30617.25
1790230620,30617.25,30630.25,30611.25,30625.75
1790230680,30626.25,30631.25,30621,30629.25
1790230740,30629.75,30630,30612.5,30613
1790230800,30613.25,30613.75,30590.25,30591
1790230860,30591.75,30597.5,30589.25,30591
1790230920,30590.75,30594,30587.25,30589.25
1790230980,30589.25,30592.5,30583.25,30585.25
1790231040,30584.75,30603.75,30582.5,30599.5
1790231100,30599.75,30608.25,30597.5,30601.5
1790231160,30601.75,30604.75,30599.5,30602.5
1790231220,30602.5,30604.25,30596.5,30599.75
1790231280,30599.75,30607.25,30594.75,30595.5
1790231340,30595.5,30605.25,30589.5,30600.25
1790231400,30600.25,30600.25,30587,30592.75
1790231460,30592.75,30597,30589.75,30592.5
1790231520,30593,30597.5,30588.75,30589.5
1790231580,30589,30589.75,30580.25,30583
1790231640,30583.25,30584.75,30577.75,30582.75
1790231700,30582.25,30587.75,30578.75,30582.75
1790231760,30582.5,30587,30576.75,30576.75
1790231820,30576.5,30576.75,30567.25,30573.75
1790231880,30573.75,30573.75,30567.25,30571.75
1790231940,30571.25,30574,30569.75,30572.5
1790232000,30572.75,30578.75,30563.5,30567.25
1790232060,30567.5,30573,30562.5,30570.75
1790232120,30570.5,30582,30567.25,30576
1790232180,30576,30589.25,30575,30588
1790232240,30588.25,30592.75,30578,30578
1790232300,30578,30588.5,30576,30586.25
1790232360,30586.5,30587,30576.5,30577
1790232420,30577.25,30583.25,30575,30576.5
1790232480,30576.5,30578.75,30572,30577.5
1790232540,30577.25,30586.25,30577.25,30580
1790232600,30580,30583,30572.75,30574
1790232660,30573.5,30576.75,30568.5,30569
1790232720,30570.5,30570.75,30553.75,30557.75
1790232780,30558,30559,30554.75,30557.75
1790232840,30558,30568.25,30554,30554.5
1790232900,30554.75,30556.5,30545.5,30553.5
1790232960,30553.75,30557.5,30551,30555.25
1790233020,30556,30557.75,30546.75,30552.75
1790233080,30552.75,30558.25,30543.75,30545.5
1790233140,30546,30546,30535,30541.5
1790233200,30540.75,30546.25,30523.75,30538.25
1790233260,30537.5,30561,30537.5,30545.5
1790233320,30545.25,30545.5,30522,30524.5
1790233380,30524.5,30538.25,30513,30532.5
1790233440,30532.5,30543.75,30520.75,30538.75
1790233500,30539.5,30551.5,30526,30547.75
1790233560,30547.75,30569.75,30542.5,30569.25
1790233620,30569,30577.75,30562.75,30576.25
1790233680,30575.5,30588.75,30575.25,30582.5
1790233740,30582.25,30588.25,30581.25,30584.5
1790233800,30585,30594,30583,30591.5
1790233860,30590.75,30592,30581,30585.5
1790233920,30583.75,30586.5,30575,30581.5
1790233980,30580.25,30587,30576.75,30585
1790234040,30585.5,30595.5,30585.5,30594.5
1790234100,30594.25,30601.75,30582.25,30584.75
1790234160,30585.25,30590.75,30584.5,30584.5
1790234220,30584.75,30591.25,30580.5,30580.5
1790234280,30581.25,30595.25,30576.75,30591.75
1790234340,30592.5,30601,30590.25,30597.25
